,loss_classifier,loss_box_reg,loss_mask,loss_objectness,loss_rpn_box_reg,loss
0,"tensor(0.4692, device='cuda:0')","tensor(0.3422, device='cuda:0')","tensor(0.5745, device='cuda:0')","tensor(0.1738, device='cuda:0')","tensor(0.0957, device='cuda:0')","tensor(1.6553, device='cuda:0')"
0,"tensor(0.4141, device='cuda:0')","tensor(0.2914, device='cuda:0')","tensor(0.6050, device='cuda:0')","tensor(0.1299, device='cuda:0')","tensor(0.0758, device='cuda:0')","tensor(1.5162, device='cuda:0')"
0,"tensor(0.3799, device='cuda:0')","tensor(0.2719, device='cuda:0')","tensor(0.5001, device='cuda:0')","tensor(0.1994, device='cuda:0')","tensor(0.0346, device='cuda:0')","tensor(1.3858, device='cuda:0')"
0,"tensor(0.4448, device='cuda:0')","tensor(0.3505, device='cuda:0')","tensor(0.3688, device='cuda:0')","tensor(0.0963, device='cuda:0')","tensor(0.0312, device='cuda:0')","tensor(1.2916, device='cuda:0')"
0,"tensor(0.4830, device='cuda:0')","tensor(0.3553, device='cuda:0')","tensor(0.4902, device='cuda:0')","tensor(0.1346, device='cuda:0')","tensor(0.0697, device='cuda:0')","tensor(1.5328, device='cuda:0')"
0,"tensor(0.2599, device='cuda:0')","tensor(0.1475, device='cuda:0')","tensor(0.4420, device='cuda:0')","tensor(0.2007, device='cuda:0')","tensor(0.0356, device='cuda:0')","tensor(1.0857, device='cuda:0')"
0,"tensor(0.4253, device='cuda:0')","tensor(0.2987, device='cuda:0')","tensor(0.5326, device='cuda:0')","tensor(0.1846, device='cuda:0')","tensor(0.1018, device='cuda:0')","tensor(1.5429, device='cuda:0')"
0,"tensor(0.4109, device='cuda:0')","tensor(0.2973, device='cuda:0')","tensor(0.4292, device='cuda:0')","tensor(0.1134, device='cuda:0')","tensor(0.0506, device='cuda:0')","tensor(1.3015, device='cuda:0')"
0,"tensor(0.1200, device='cuda:0')","tensor(0.0381, device='cuda:0')","tensor(0.4043, device='cuda:0')","tensor(0.0657, device='cuda:0')","tensor(0.0087, device='cuda:0')","tensor(0.6369, device='cuda:0')"
0,"tensor(0.3865, device='cuda:0')","tensor(0.2356, device='cuda:0')","tensor(0.5874, device='cuda:0')","tensor(0.1498, device='cuda:0')","tensor(0.0750, device='cuda:0')","tensor(1.4345, device='cuda:0')"
0,"tensor(0.3454, device='cuda:0')","tensor(0.2255, device='cuda:0')","tensor(0.4817, device='cuda:0')","tensor(0.1741, device='cuda:0')","tensor(0.0631, device='cuda:0')","tensor(1.2898, device='cuda:0')"
0,"tensor(0.1677, device='cuda:0')","tensor(0.1227, device='cuda:0')","tensor(0.4474, device='cuda:0')","tensor(0.0459, device='cuda:0')","tensor(0.0221, device='cuda:0')","tensor(0.8058, device='cuda:0')"
